Transecta	Año	Punto	x	y	Sustrato	Hojarasca	Arbt	Arbo	sp	Estado	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	tq_s	tq_a
5	1950	6	10	0	H	1.5	3.5	18.18	Ca?	Vivo	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2
5	1950	6	10	0	H	1.5	3.5	18.18	Chaura	Seco	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	3	0
5	1950	6	10	0	H	1.5	3.5	18.18	Chaura	Vivo	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
5	1950	7	12	0	H	2	0	18.51	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1950	8	14	0	H	1	3.5	20.23	Ca?	Vivo	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2
5	1950	8	14	0	H	1	3.5	20.23	Ca?	Seco	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
5	1950	8	14	0	H	1	3.5	20.23	Coihue	Seco	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
5	1950	9	16	0	H	1	4.67	18.13	Ca?	Vivo	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	3
5	1950	9	16	0	H	1	4.67	18.13	Ca?	Seco	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
5	1950	10	18	0	H	1	2.47	21.5	Coihue	Seco	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0
5	1950	10	18	0	H	1	2.47	21.5	Ca?	Vivo	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	1
5	1950	11	20	0	H	1	5	19.08	Ca?	Seco	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
5	1950	12	22	0	H	1	6.82	19.83	Ca?	Seco	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0
5	1950	13	24	0	H	0.5	2.5	20.74	Ca?	Seco	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	4
5	1950	14	26	0	H	0.5	3.5	21.07	Ca?	Vivo	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	5
5	1950	14	26	0	H	0.5	3.5	21.07	Ca?	Seco	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	1
5	1950	15	28	0	H	0.5	2.3	12.13	Ca?	Seco	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
5	1950	15	28	0	H	0.5	2.3	12.13	Ca?	Vivo	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
5	1950	16	30	0	H	1	3.4	11.32	Ca?	Vivo	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	3	4
5	1950	16	30	0	H	1	3.4	11.32	Ca?	Seco	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
